her yeni gün bir mutluluk,Mutlu
gece kimsenin olmadığı sokaklardan geçerken çok korkarım,Korku
gerçekleşemeyen hayaller,Sinirli
arkadaş kaybetmek beni üzüyor,Üzüntü
insanların çıkarcı olmalarından tiksiniyorum,İğrenç
hiç beklemediğim anda sürprizle karşılaşmak beni şaşırtır,Süpriz
Ailemle tatile çıktığımda çok sevindim.,Mutlu
Rüyamda babamın öldüğünü gördüğümde çok korkmuştum.,Korku
Daha taksiti bitmemiş bilgisayarımı ben uyurken otobüsten çalınmasına çok öfkelendim.,Sinirli
Annemin üzüldüğünü gördüğümde üzülüyorum.,Üzüntü
Yalan söylenmesinden tiksiniyorum.,İğrenç
Lise arkadaşımın evlendiğini gördüğümde şoka uğradım.,Süpriz
Derslerin hepsini istediğim şekilde verince çok sevindim.,Mutlu
Rüyalar beni çok korkutuyor.,Korku
İnatçı insanlarla tartışmak beni çok sinirlendiriyor.,Sinirli
Fenerbahçe'nin yenilmesi içimi acıtıyor.,Üzüntü
Yemekten kıl çıkması beni öldürüyor.,İğrenç
Geçerim dediğim dersten kalma durumuna gelmem beni çok şaşırtıyor.,Süpriz
"Scuba yaptığım zaman mutlu olurum.
      Okulda ders iptal olduğu zaman mutlu olurum.",Mutlu
"Doğada zehirli bir hayvan tarafından ısırılmaktan korku duyarım.
      Pisi pisine ölmekten korku duyarım.",Korku
Mesajlarımın görülüp cevap verilmemesine öfke duyarım.,Sinirli
Çocukken sahip olduğum köpek aniden öldüğünde çok üzüldüm.,Üzüntü
Köpek sahibi insanların köpeklerini dışarı çıkarmamasından tiksiniyorum.,İğrenç
Eski bir arkadaşımla uzun süreden sonra karşılaşınca şaşırırım.,Süpriz
herhangi bir dersi CC üstü bi notla geçersem mutlu oluyorum,Mutlu
herhangi bir dersten DD altı bir notla kalmaktan korkuyorum,Korku
herhangi bir dersten DD altı bir notla kalırsam öfkeleniyorum,Sinirli
herhangi bir dersten DD altı bir notla kalırsam üzülüyorum,Üzüntü
herhangi bir dersten DD altı bir notla bırakan hocadan tiksiniyorum,İğrenç
herhangi bir dersi CC üstü bir notla geçersem şaşırıyorum,Süpriz
bir hanım arkadaşımızla 45 dakika süren zorlu bir spor müsabakasını galibiyetle kapayınca anlık bir mutluluk yaşadım.,Mutlu
"en büyük korkum korkunun kendisidir. bence bu çok asilce, peki ya sizce?",Korku
arkadaşım kolamın içerisine mentos atıp kaçtığında ciddi manada köpürmüştüm.,Sinirli
"digimon da wizardmon un öldüğü sahnede adeta içimden bir şeyler kopmuş, yüreğimden sonsuzluk diyarına gemiler kalkmıştı.",Üzüntü
"ne zaman küçük bir sinek görsem beni tiksindirir, midemi bulandırır.",İğrenç
arkadaşım cinsiyetim hakkında yanılmış. bu beni çok şaşırttı.,Süpriz
Özlediğim biriyle görüşmek,Mutlu
Karşıdan karşıya geçerken otobüsü gördüğümde korkmuştum,Korku
Kandırıldım,Sinirli
Geçmişte kaçırdığım fırsatlar beni üzüyor,Üzüntü
Bir korku filminin afişi,İğrenç
Uzun zamandır görmediğim kuzenimin yürüdüğünü görünce,Süpriz
Annem kolyenin yenisini alınca çok mutlu oldum.,Mutlu
Babam hastahaneye kaldırılınca ona bir şey olursa diye çok korktum.,Korku
Benim hakkımda yalan söylendiğini duyunca çok sinirlendim.,Sinirli
Kendi paralarımı biriktirip aldığım altın kolyemi kaybedince çok üzüldüm.,Üzüntü
Otobüsteki adamın burnunu karıştırdığını görünce midem bulandı.,İğrenç
Dom sınavına o kadar çalıştıktan sonra kötü geçtiğini görünce inanamadım.,Süpriz
DOM Lab'ı erken bitti.,Mutlu
Lab sorusunu yapamayacağım diye çok korktum.,Korku
Sabah servise binerken önüme kaynak yapmasınlar artık.,Sinirli
Kayahan'ın vefatı beni derinden etkiledi.,Üzüntü
Bu hayattan bıktım artık,İğrenç
Öğrenciler sorduğum bir soruyu yanlış cevapladı.,Süpriz
Dersler bitince mutlu oluyorum,Mutlu
Kopya çeker de yakalanırsam diye çok korktum,Korku
Dom ödevi verdiklerinde çok sinirlendim,Sinirli
Ödevin zor olduğunu görünce öfke yerini hüzne bıraktı,Üzüntü
100 alanları görünce tiksiniyorum,İğrenç
ödevden 100 alınca çok şaşırdım,Süpriz
yeğenlerim benim mutluluk kaynağımdır. bana dayı dediklerinde bütün dünya benim olur.,Mutlu
ablamlar kaza yaptığında çok korktum.,Korku
bayrağıma ve milli değerlerimden birine kötü söz söylendiğinde.,Sinirli
reddedildiğim zaman.,Üzüntü
domatesten tiksiniyorum .,İğrenç
yazdığım sallama kod çalışınca ağzım açık kaldı.,Süpriz
sınavlardan iyi notlar aldığımda ya da gerçekten insanlara bir yararım dokunduğunda mutlu olurum.,Mutlu
eve hırsız girdikten sonra evde tek kaldığım için geceleri ışık açık uyuyorum.,Korku
"otobüste değil ama bayram dönüşü eve hırsız girdiğinde, hem bir takım şeyleri aldığı, hem de polisin bir sürü zamanımı aldığı için çok öfkelenmiştim",Sinirli
"civciv, balık ve benzeri hangi hayvan ölürse ölsüm çok üzüldüm. bir süre sonra hayvan almamaya ve bakmamaya başladım. Ölmelerini kaldıramıyorum hiçbir şekilde",Üzüntü
ikisinden de tiksinmiyorum,İğrenç
öyle bir durum yok,Süpriz
Galatasaray'ın galibiyetine çok mutlu oluyorum,Mutlu
Eskiden gece tek başıma karanlıkta korku filmi izlediğimde çok korkardım.,Korku
İddaa kuponum tek maçtan yatınca çok öfkeleniyorum.,Sinirli
Dedem vefat ettiğinde çok üzülmüştüm.,Üzüntü
Evde veya arabada sigara içilmesinden nefret ediyorum.,İğrenç
Hiç ummadığım bir yerde uzun zamandır görüşmediğim arkadaşımla karşılaştığımda şaşırıyorum.,Süpriz
Ödevi tamamlamak,Mutlu
Ödevden düşük almak,Korku
Ödevde yapamadığım şeyin tekrar etmesi,Sinirli
Kuşumun öldüğü zaman,Üzüntü
Tripofobi,İğrenç
Hocamızın dersi erken bitirmesi,Süpriz
uyuduğum zamanlar.,Mutlu
ödevi kaydetmediğimi düşündüğüm an.,Korku
haksızlığa uğrayan birini gördüğümde .,Sinirli
okula her gün bir buçuk saatte gelmek.,Üzüntü
yere çöp atan insanlardan.,İğrenç
annemin yeni aldığı yemek tariflerine.,Süpriz
Evime giderken mutlu oluyorum.,Mutlu
Fizik vizem açıklanırken kalbim deli gibi atıyor.,Korku
Soru sormak için hocaya gittiğimde oyun oynadığını söylediğinde öfkelendim,Sinirli
Evimden ayrılırken üzülüyorum.,Üzüntü
Oda arkadaşımın bütün gece horlaması,İğrenç
